task,subj,baseline,proactive,reactive
Cuedts,DMCC5775387,0.0714285714285714,0.0714285714285714,0.0357142857142857
Cuedts,DMCC6418065,0,0,0
Cuedts,DMCC6484785,0.0357142857142857,0.0357142857142857,0.0714285714285714
Cuedts,DMCC6627478,0.0357142857142857,0.0714285714285714,0
Cuedts,DMCC6671683,-0.0892857142857143,0.0357142857142857,-0.125
Cuedts,DMCC6705371,-0.125,-0.0178571428571429,0.0714285714285714
Cuedts,DMCC6721369,0.0357142857142857,0.0357142857142857,0.0357142857142857
Cuedts,DMCC7921988,0.178571428571429,0.0714285714285714,0.0357142857142857
Cuedts,DMCC8050964,0.107142857142857,0.107142857142857,0
Cuedts,DMCC8078683,0,0.0357142857142857,0
Cuedts,DMCC8214059,0.0178571428571429,0,0
Cuedts,DMCC8260571,0,0.0714285714285714,0.142857142857143
Cuedts,DMCC9441378,-0.0892857142857143,0,0.0357142857142857
Cuedts,DMCC9478705,0,-0.125,0
Stern,107321,0.25,0,0.25
Stern,115825,0.583333333333333,0.833333333333333,0.416666666666667
Stern,123117,0.0833333333333333,0.333333333333333,0.25
Stern,130114,0.166666666666667,0.333333333333333,0.0833333333333333
Stern,130518,0.75,0.666666666666667,0.0833333333333333
Stern,132017,0.333333333333333,0.166666666666667,0.166666666666667
Stern,135730,0.666666666666667,0.583333333333333,-0.0833333333333333
Stern,138837,0,0.5,-0.0833333333333333
Stern,141422,0.333333333333333,0.416666666666667,0.0833333333333333
Stern,150423,0.166666666666667,0.666666666666667,0.166666666666667
Stern,155938,0.166666666666667,0.166666666666667,0.25
Stern,158136,0,0,0.0833333333333333
Stern,160830,-0.0833333333333334,0.333333333333333,0.166666666666667
Stern,161832,0.0833333333333333,0.5,0
Stern,165032,0,0,0.333333333333333
Stern,173738,0.25,0,-0.0833333333333333
Stern,178243,0.333333333333333,0.666666666666667,0.333333333333333
Stern,178647,0.5,0.166666666666667,0.333333333333333
Stern,178950,0,0.166666666666667,0.166666666666667
Stern,182436,0.25,0.5,0.166666666666667
Stern,197449,0,0.5,0.0833333333333334
Stern,203418,0.166666666666667,0.166666666666667,0
Stern,204319,0,0.333333333333333,0
Stern,300618,0.0833333333333333,0.166666666666667,0
Stern,317332,-0.0833333333333333,0.25,0.0833333333333333
Stern,346945,0.0833333333333333,0,0.166666666666667
Stern,393550,0.333333333333333,0.333333333333333,0.416666666666667
Stern,448347,0.416666666666667,0.416666666666667,0.0833333333333334
Stern,562345,0,0.333333333333333,0.166666666666667
Stern,580650,0.333333333333333,0.416666666666667,0.333333333333333
Stern,594156,0.166666666666667,0,0.0833333333333333
Stern,601127,0.333333333333333,0.666666666666667,0.333333333333333
Stern,672756,0.166666666666667,0.333333333333333,0
Stern,765864,0.333333333333333,0.5,0.0833333333333333
Stern,814649,0.416666666666667,0.583333333333333,-0.0833333333333333
Stern,849971,0,0.333333333333333,0.0833333333333333
Stern,877168,0.5,0.25,0.25
Stern,DMCC1328342,0.166666666666667,-0.0833333333333333,0.166666666666667
Stern,DMCC1596165,0.25,0.583333333333333,-0.0833333333333333
