task,subj,baseline,proactive,reactive
Cuedts,DMCC3963378,-50.125,-53.8173076923077,57.125
Cuedts,DMCC4191255,54.2884615384616,4.23214285714289,78.449074074074
Cuedts,DMCC5195268,54.1111111111111,31.5576923076923,27.5357142857143
Cuedts,DMCC5775387,216.89,91.7596153846154,-5.45192307692309
Cuedts,DMCC6418065,-105.142857142857,99.6785714285715,9.35714285714289
Cuedts,DMCC6484785,-20.8461538461538,-198.944444444444,14.5865384615386
Cuedts,DMCC6627478,134.235,84.8076923076923,59.25
Cuedts,DMCC6671683,79,-89.8888888888889,-15.6071428571429
Cuedts,DMCC6705371,80.1785714285714,86.8342857142857,18.5
Cuedts,DMCC6721369,153.5,88.9537037037037,122.435185185185
Cuedts,DMCC7921988,-4.89772727272725,37.9519230769231,-6.56730769230762
Cuedts,DMCC8050964,53.165,114.14,40.6719576719577
Cuedts,DMCC8078683,-66.2857142857142,21.8564814814815,115.517857142857
Cuedts,DMCC8214059,57.4906832298136,169.303571428571,-6.375
Cuedts,DMCC8260571,83.5714285714286,7.23076923076928,11.5434782608696
Cuedts,DMCC9441378,9.96703296703276,-180.214285714286,-62.1296296296296
Cuedts,DMCC9478705,41.5535714285714,142.535714285714,-4.92857142857133
Stern,107321,-2.63636363636363,362.833333333333,-36.7777777777778
Stern,115825,-41.6363636363636,-12.8333333333334,133.047619047619
Stern,123117,-157.4,400.083333333333,46.1333333333333
Stern,130114,482.083333333333,236.5,323.2
Stern,130518,83.9090909090909,61.1666666666666,-11.0222222222221
Stern,132017,72.340909090909,202,340.975
Stern,135730,256.5,-105.363636363636,243.714285714286
Stern,138837,-115,212,121.861111111111
Stern,141422,-131.583333333333,474.39393939394,-104.022222222222
Stern,150423,59.9500000000001,142,213.925
Stern,155938,155.6,389.7,151.666666666667
Stern,158136,132.833333333333,223.583333333333,123.409090909091
Stern,160830,262.4,-51.5,110.916666666667
Stern,161832,3.05555555555554,205.375,-111.2
Stern,165032,127.25,-43.2,140.041666666667
Stern,173738,267.681818181818,147.833333333333,83.5090909090909
Stern,178243,369.533333333333,293,297.9
Stern,178647,119.666666666667,407.8,63.2916666666668
Stern,178950,288.5,374,140.8
Stern,182436,528.888888888889,-170.375,-65.6666666666667
Stern,197449,-563,612.375,148.142857142857
Stern,203418,338.05,165.883333333333,211.5
Stern,204319,-12.2499999999999,57.0833333333334,389
Stern,300618,67.6909090909089,82.3,110
Stern,317332,164.954545454546,39.5227272727273,79.0909090909091
Stern,346945,330.636363636364,275.333333333333,48.2666666666667
Stern,393550,123.583333333333,385.333333333333,135
Stern,448347,157.363636363636,-196.388888888889,122.714285714286
Stern,562345,109.3,-178.866666666667,135.2
Stern,580650,212.833333333333,138.444444444444,238.466666666667
Stern,594156,296.516666666667,151.833333333333,65.6363636363637
Stern,601127,124.433333333333,507.5,597.333333333333
Stern,672756,-6.39999999999998,340,62
Stern,765864,182.083333333333,153.25,130.136363636364
